transitive	salim	Table-base
صَعِقَ	3	ل
أَصْعَقَ	4	م
صَعِلَ	3	ل
اِصْعالَّ	6	ل
صَغَرَ	3	م
صَغُرَ	3	ل
صَغَّرَ	4	م
أَصْغَرَ	4	ل/م
تَصاغَرَ	5	ل
اِسْتَصْغَرَ	6	ل/م
صَغا	3	ل
صَغِيَ	3	ل
أَصْغَى	4	ل/م
صَفَحَ	3	ل/م
صَفِحَ	3	ل
صَفَّحَ	4	م
صافَحَ	4	م
أَصْفَحَ	4	م
تَصَفَّحَ	5	م
تَصافَحَ	5	ل
اِسْتَصْفَحَ	6	م
صَفَدَ	3	م
صَفَّدَ	4	م
أَصْفَدَ	4	م
صَفَرَ	3	ل
صَفِرَ	3	ل
صَفَّرَ	4	ل/م
أَصْفَرَ	4	ل/م
اِصْفَرَّ	5	ل
صَفَعَ	3	م
صَفَّ	3	ل/م
صَفَّفَ	4	م
صافَّ	4	م
أَصَفَّ	4	م
تَصافَّ	5	ل
اِصْطَفَّ	5	ل
صَفَقَ	3	م/ل
صَفُقَ	3	ل
صَفَّقَ	4	م/ل
صافَقَ	4	ل
أَصْفَقَ	4	ل/م
تَصَفَّقَ	5	ل
تَصافَقَ	5	ل
اِنْصَفَقَ	5	ل
اِصْطَفَقَ	5	ل
صَفَنَ	3	ل/م
صَفَّنَ	4	ل
صافَنَ	4	م
تَصافَنَ	5	ل
صَفا	3	ل
صَفَّى	4	م
صافَى	4	م
أَصْفَى	4	ل/م
تَصافَى	5	ل
اِصْطَفَى	5	م
اِسْتَصْفَى	6	م
صَقَبَ	3	ل/م
صَقِبَ	3	ل
صاقَبَ	4	م
أَصْقَبَ	4	م
تَصاقَبَ	5	ل
صَقَرَ	3	ل/م
صَقَّرَ	4	ل
تَصَقَّرَ	5	ل
صَقَعَ	3	ل/م
ضَقِعَ	3	ل
أَصْقَعَ	4	ل
صَقَلَ	3	م
صَقِلَ	3	ل
صَكَّ	3	م
صَكَّ	3	ل
اِصْطَكَّ	5	ل
صَكَمَ	3	ل/م
صَلَبَ	3	ل/م
صَلُبَ	3	ل
صَلَّبَ	4	ل/م
تَصَلَّبَ	5	ل
اِصْطَلَبَ	5	م
صَلَتَ	3	ل
صَلَتَ	3	م
صَلُتَ	3	ل
أَصْلَتَ	4	م
اِنْصَلَتَ	5	ل
صَلِجَ	3	ل
تَصالَجَ	5	ل
صَلَحَ	3	ل
صَلُحَ	3	ل
صالَحَ	4	م
أَصْلَحَ	4	ل/م
تَصالَحَ	5	ل
اِصْطَلَحَ	5	ل
اِسْتَصْلَحَ	6	ل/م
صَلِخَ	3	ل
تَصالَخَ	5	ل
صَلَدَ	3	ل
صَلُدَ	3	ل
أَصْلَدَ	4	ل/م
صَلِعَ	3	ل
صَلَّعَ	4	ل
تَصَلَّعَ	5	ل
صَلَفَ	3	م
صَلِفَ	3	ل
أَصْلَفَ	4	ل/م
تَصَلَّفَ	5	ل
صَلَقَ	3	ل/م
أَصْلَقَ	4	ل/م
تَصَلَّقَ	5	ل
اِصْطَلَقَ	5	ل/م
صَلَّ	3	ل/م
صَلَّلَ	4	ل/م
أَصَلَّ	4	ل
صَلَمَ	3	م
صَلَّمَ	4	م
اِصْطَلَمَ	5	م
صَلَى	3	م/ل
صَلِيَ	3	ل
صَلَّى	4	ل
أَصْلَى	4	ل
تَصَلَّى	5	م/ل
اِصْطَلَى	5	م/ل
صَمَتَ	3	ل
صَمَّتَ	4	ل/م
أَصْمَتَ	4	ل/م
صَمَحَ	3	ل/م
صَمَخَ	3	م
صَمَدَ	3	ل/م
صَمَّدَ	4	م
صامَدَ	4	م
أَصْمَدَ	4	م
تَصامَدَ	5	ل
صَمَرَ	3	ل/م
صَمِرَ	3	ل
صَمَّرَ	4	ل/م
أَصْمَرَ	4	ل/م
صَمِعَ	3	ل
صَمَّعَ	4	م
تَصَمَّعَ	5	ل
اِنْصَمَعَ	5	ل
صَمَّغَ	4	م
أَصْمَغَ	4	ل
اِسْتَصْمَغَ	6	م
صَمَلَ	3	ل
أَصْمَلَ	4	م
صَمَّ	3	م
صَمَّ	3	ل
صَمَّمَ	4	ل/م
أَصَمَّ	4	ل/م
تَصامَّ	5	م/ل
صَمَى	3	ل
أَصْمَى	4	ل/م
صَنَجَ	3	ل/م
صَنَعَ	3	م
صَنِعَ	3	ل
صَنَّعَ	4	م
صانَعَ	4	م
أَصْنَعَ	4	ل/م
تَصَنَّعَ	5	ل
اِصْطَنَعَ	5	م/ل
اِسْتَصْنَعَ	6	م
صَنَّفَ	4	ل/م
تَصَنَّفَ	5	ل
أَصْنَقَ	4	ل
صَنِمَ	3	ل
صَنَّمَ	4	ل/م
صَنَّ	3	ل
أَصَنَّ	4	ل
أصْنَى	4	ل
تَصَنَّى	5	ل
صَهُبَ	3	ل
صَهِبَ	3	ل
صَهَّبَ	4	م
اِصْهَبَّ	5	ل
صَهَدَ	3	م
صَهَرَ	3	م
صاهَرَ	4	م/ل
أَصْهَرَ	4	ل
تَصاهَرَ	5	ل
اِنْصَهَرَ	5	ل
اِصْطَهَرَ	5	م
صَهَلَ	3	ل
تَصاهَلَ	5	ل
صَهِيَ	3	ل
صاهَى	4	م
أَصْهَى	4	ل/م
صابَ	3	ل/م
صَوَّبَ	4	م
أَصابَ	4	ل/م
تَصَوَّبَ	5	ل
اِنْصابَ	5	ل
اِسْتَصابَ	6	م
اِسْتَصْوَبَ	6	م
صاتَ	3	ل
صَوَّتَ	4	ل/م
أَصاتَ	4	ل/م
اِنْصاتَ	5	ل
صاحَ	3	م
صَوَّحَ	4	ل/م
تَصَوَّحَ	5	ل
اِنْصاحَ	5	ل
أَصاخَ	4	ل
صارَ	3	ل/م
صَوِرَ	3	ل
صَوَّرَ	4	م
أَصارَ	4	م
تَصَوَّرَ	5	ل/م
صاعَ	3	ل/م
صَوَّعَ	4	م
تَصَوَّعَ	5	ل
اِنْصاعَ	5	ل
صاغَ	3	م
اِنْصاغَ	5	ل
صافَ	3	ل
صَوَّفَ	4	ل/م
تَصَوَّفَ	5	ل
صاكَ	3	ل
تَصَوَّكَ	5	ل
صالَ	3	ل
صَوَّلَ	4	م
صاوَلَ	4	م
تَصاوَلَ	5	ل
صامَ	3	ل
صَوَّمَ	4	ل
اِصْطامَ	5	ل
صانَ	3	ل/م
تَصَوَّنَ	5	ل
تصاوَنَ	5	ل
اِصْطانَ	5	م
صَوِيَ	3	ل
صَوَّى	4	م
أَصْوَى	4	ل
صَيَّأَ	4	ل/م
صاحَ	3	ل
صايَحَ	4	ل/م
صَيَّحَ	4	ل/م
اِنْصاحَ	5	ل
صادَ	3	م
صَيِدَ	3	ل
أَصادَ	4	م
تَصَيَّدَ	5	م/ل
اِصْطادَ	5	م
اِصْيَدَّ	5	ل
صارَ	3	ل
صَيَّرَ	4	م
أَصارَ	4	م
تَصَيَّرَ	5	م
صاصَ	3	ل
صَيَّصَ	4	ل
أَصاصَ	4	ل
صاعَ	3	م
أَصاعَ	4	م
اِنْصاعَ	5	ل
صَيَّغَ	4	م
صَيَّفَ	4	ل/م
صايَفَ	4	م
أَصافَ	4	ل/م
تَصَيَّفَ	5	ل
اِصْطافَ	5	ل
صاقَ	3	ل
صاكَ	3	ل
صالَ	3	ل
ضَأَزَ	3	م
ضَئِطَ	3	ل
ضَؤُلَ	3	ل
ضاءَلَ	4	م
تَضاءَلَ	5	ل
أَضْأَنَ	4	ل
ضَأَى	3	ل
ضَبَأَ	3	ل/م
أَضْبَأَ	4	ل
ضَبَّ	3	ل
ضَبَّبَ	4	م
أَضَبَّ	4	ل
تَضَبَّبَ	5	ل
ضَبَثَ	3	م/ل
ضَبَجَ	3	ل/م
ضَبَحَ	3	ل/م
ضابَحَ	4	م
اِنْضَبَحَ	5	ل
ضَبَرَ	3	ل/م
ضَبَّرَ	4	ل/م
أَضْبَرَ	4	ل/م
ضَبَسَ	3	م
ضَبِسَ	3	ل
ضَبَطَ	3	م
ضَبِطَ	3	ل
تَضَبَّطَ	5	م
اِنْضَبَطَ	5	ل
ضَبَعَ	3	ل/م
ضَبِعَ	3	ل
ضَبَّعَ	4	ل
ضابَعَ	4	م
أَضْبَعَ	4	ل
اِضْطَبَعَ	5	ل
اِسْتَضْبَعَ	6	ل
ضَبَنَ	3	م
ضَبِنَ	3	ل
أَضْبَنَ	4	م
اِضْطَبَنَ	5	م
ضَبا	3	ل/م
أَضْبَى	4	ل
ضَجَّ	3	ل
ضاجَّ	4	م
أَضَجَّ	4	ل
ضَجِرَ	3	ل
أَضْجَرَ	4	م
تَضَجَّرَ	5	ل
ضَجَعَ	3	ل
ضَجَّعَ	4	ل
ضاجَعَ	4	م
أَضْجَعَ	4	ل/م
تَضَجَّعَ	5	ل
تَضاجَعَ	5	ل
اِنْضَجَعَ	5	ل
اِضْطَجَعَ	5	ل
ضَجِمَ	3	ل
تَضاجَمَ	5	ل
ضَحِكَ	3	ل
ضاحَكَ	4	م
أَضْحَكَ	4	ل/م
تَضَحَّكَ	5	ل
تَضاحَكَ	5	ل
اِسْتَضْحَكَ	6	ل
ضَحَلَ	3	ل
ضَحا	3	ل
ضَحِيَ	3	ل
ضَحَّى	4	ل/م
ضاحَى	4	ل/م
أَضْحَى	4	ل/م
تَضَحَّى	5	ل
اِسْتَضْحَى	6	ل
ضَخَّ	3	م
ضَخَّ	3	ل
اِنْضَخَّ	5	ل
ضَخُمَ	3	ل
ضَدَّ	3	م
ضادَّ	4	م/ل
أَضَدَّ	4	ل/م
تَضادَّ	5	ل
ضَدِيَ	3	ل
ضادَى	4	م
أَضْدَى	4	م
ضَرَبَ	3	ل/م
ضَرُبَ	3	ل
ضَرِبَ	3	ل
ضَرَّبَ	4	ل/م
ضارَبَ	4	م/ل
أَضْرَبَ	4	ل/م
تَضَرَّبَ	5	ل
تَضارَبَ	5	ل
اِضْطَرَبَ	5	ل
اِسْتَضْرَبَ	6	ل
ضَرَجَ	3	م
ضَرَّجَ	4	م
تَضَرَّجَ	5	ل
اِنْضَرَجَ	5	ل
ضَرَحَ	3	ل
ضَرَحَ	3	م
ضارَحَ	4	م
أَضْرَحَ	4	م
اِنْضَرَحَ	5	ل
اِضْطَرَحَ	5	م
ضَرَّ	3	م/ل
ضارَّ	4	م
أَضَرَّ	4	ل/م
تَضَرَّرَ	5	ل
تَضارَّ	5	ل
اِضْطَرَّ	5	م
اِسْتَضَرَّ	6	ل
ضَرَسَ	3	م
ضَرِسَ	3	ل
ضَرَّسَ	4	م
ضارَسَ	4	م
أَضْرَسَ	4	م/ل
تَضَرَّسَ	5	ل
تَضارَسَ	5	ل
ضَرَطَ	3	ل
ضَرِطَ	3	ل
ضَرَّطَ	4	ل/م
أَضْرَطَ	4	م
ضَرَعَ	3	ل
ضَرِعَ	3	ل
ضارَعَ	4	م
أَضْرَعَ	4	ل/م
تَضَرَّعَ	5	ل
تَضارَعَ	5	ل
ضَرُكَ	3	ل
ضَرِمَ	3	ل
ضَرَّمَ	4	م
أَضْرَمَ	4	م
تَضَرَّمَ	5	ل
اِضْطَرَمَ	5	ل
اِسْتَضْرَمَ	6	ل
ضَرا	3	ل
ضَرَى	3	ل
ضَرِيَ	3	ل
ضَرَّى	4	م
أَضْرَى	4	م
اِسْتَضْرَى	6	م/ل
ضَزَنَ	3	م
تَضازَنَ	5	ل
ضَعَّ	3	م
ضَعَفَ	3	م
ضَعُفَ	3	ل
ضَعَّفَ	4	م
ضاعَفَ	4	م
أَضْعَفَ	4	ل/م
تَضاعَفَ	5	ل
اِسْتَضْعَفَ	6	م
ضَغَثَ	3	م
ضَغَّثَ	4	م
أَضْغَثَ	4	م
ضَغَطَ	3	م/ل
ضاغَطَ	4	م
تَضاغَطَ	5	ل
ضَغِنَ	3	ل
ضاغَنَ	4	م
أَضْغَنَ	4	ل
تَضاغَنَ	5	ل
اِضْطَغَنَ	5	ل
ضَغا	3	ل
ضَغَّى	4	م
أَضْغَى	4	م
تَضاغَى	5	ل
ضَفَرَ	3	ل/م
ضَفَّرَ	4	م
ضافَرَ	4	م
تَضافَرَ	5	ل
اِنضَفَرَ	5	ل
ضَفَزَ	3	ل/م
اِضْطَفَزَ	5	م
ضَفَّ	3	ل/م
تَضافَّ	5	ل
ضَفَنَ	3	ل/م
ضافَنَ	4	م
تَضافَنَ	5	ل
ضَفا	3	ل
ضَكَّ	3	م
ضَلَعَ	3	ل/م
ضَلُعَ	3	ل
ضَلِعَ	3	ل
ضَلَّعَ	4	م
أَضْلَعَ	4	ل/م
تَضَلَّعَ	5	ل
اِضْطَلَعَ	5	ل
اِسْتَضْلَعَ	6	ل
ضَلَّ	3	ل/م
ضَلَّ	3	ل/م
ضَلَّلَ	4	م
أَضَلَّ	4	م
تَضَلَّلَ	5	ل
تَضالَّ	5	ل
اِسْتَضَلَّ	6	-
ضَمَخَ	3	م
ضَمَّخَ	4	م
تَضَمَّخَ	5	ل
ضَمَدَ	3	م
ضَمِدَ	3	ل
ضَمَّدَ	4	م
أَضْمَدَ	4	م
تَضَمَّدَ	5	ل
ضَمَرَ	3	ل
ضَمُرَ	3	ل
ضَمَّرَ	4	م
أَضْمَرَ	4	ل/م
تَضَمَّرَ	5	ل
اِنْضَمَرَ	5	ل
اِضْطَمَرَ	5	ل
ضَمَزَ	3	ل/م
ضَمَسَ	3	م
ضَمَّ	3	ل/م
ضامَّ	4	م
تَضامَّ	5	ل
اِنْضَمَّ	5	ل
اِضْطَمَّ	5	ل/م
ضَمِنَ	3	ل/م
ضَمَّنَ	4	م
تَضَمَّنَ	5	م
تَضامَنَ	5	ل
ضَنَأَ	3	ل
أَضْنَأَ	4	ل
ضَنَكَ	3	م
ضَنُكَ	3	ل
أَضْنَكَ	4	م
تَضَنَّكَ	5	ل
ضَنَّ	3	ل
ضَنا	3	ل
ضَنِيَ	3	ل
ضانَى	4	م
أَضْنَى	4	ل
تَضَنَّى	5	ل
ضاهَأَ	4	م
ضَهَبَ	3	ل/م
ضَهَّبَ	4	م
ضاهَبَ	4	م
ضَهَدَ	3	م
أَضْهَدَ	4	م/ل
اِضْطَهَدَ	5	م
ضَهَلَ	3	ل/م
أَضْهَلَ	4	ل/م
تَضَهَّلَ	5	ل
اِسْتَضْهَلَ	6	م
ضَهِيَ	3	ل
ضاهَى	4	م
أَضْهَى	4	ل
ضاءَ	3	ل
ضَوَّأَ	4	م
أَضاءَ	4	ل/م
تَضَوَّأَ	5	م
اِسْتَضاءَ	6	ل
ضاجَ	3	ل
تَضَوَّجَ	5	ل
اِنْضاجَ	5	ل
اِنْضَوَجَ	5	ل
ضارَ	3	ل/م
تَضَوَّرَ	5	ل
ضَوِطَ	3	ل
ضاعَ	3	ل/م
ضَوَّعَ	4	م
تَضَوَّعَ	5	ل
اِنْضاعَ	5	ل
ضانَ	3	ل
تَضَوَّنَ	5	ل
ضَوَى	3	ل/م
ضَوِيَ	3	ل
أَضْوَى	4	ل/م
اِنْضَوَى	5	ل
ضاحَ	3	ل/م
ضَيَّحَ	4	م
تَضَيَّحَ	5	ل
ضارَ	3	م
ضازَ	3	ل/م
ضاعَ	3	ل
ضَيَّعَ	4	م
أَضاعَ	4	ل/م
ضافَ	3	ل/م
ضَيَّفَ	4	م
أَضافَ	4	ل/م
تَضَيَّفَ	5	م
تَضايَفَ	5	ل/م
اِنْضافَ	5	ل
اِسْتَضافَ	6	م/ل
ضاقَ	3	ل
ضَيَّقَ	4	م
ضايَقَ	4	م
أَضاقَ	4	ل/م
تَضايَقَ	5	ل
ضامَ	3	م
اِسْتَضامَ	6	م
طَبَّ	3	ل
طَبَّ	3	م/ل
طَبَّبَ	4	م
طابَّ	4	م
تَطَبَّبَ	5	ل
اِسْتَطَبَّ	6	ل
طَبَخَ	3	م
طَبَّخَ	4	م
تَطَبَّخَ	5	ل
اِنْطَبَخَ	5	ل
اِطَّبَخَ	5	ل/م
طَبَرَ	3	ل
طَبَعَ	3	م/ل
طَبِعَ	3	ل
طَبَّعَ	4	م
أَطْبَعَ	4	م
تَطَبَّعَ	5	ل
اِنْطَبَعَ	5	ل
طَبَّقَ	4	ل/م
طابَقَ	4	ل/م
أَطْبَقَ	4	ل/م
تَطَبَّقَ	5	ل
تَطابَقَ	5	ل
اِنْطَبَقَ	5	ل
طَبَلَ	3	ل
طَبَّلَ	4	ل
طَبَنَ	3	م/ل
طَبِنَ	3	ل
طابَنَ	4	-
طَبا	3	م
طَبِيَ	3	ل
اِطَّبَى	5	م
طَثَّ	3	م
طَجَنَ	3	م
طَجَّنَ	4	م
طَحَّ	3	م
أَطَحَّ	4	م
اِنْطَحَّ	5	ل
طَحَرَ	3	ل/م
طَحَلَ	3	م
طَحِلَ	3	ل
طَحَنَ	3	م
طَحَّنَ	4	م
تَطَحَّنَ	5	ل
اِنْطَحَنَ	5	ل
طَحا	3	ل/م
طَحَّى	4	ل
تَطَحَّى	5	ل
طَخَّ	3	ل
طَخَّ	3	م
طَخا	3	ل
طَرَأَ	3	ل
طَرُؤَ	3	ل
طَرَّأَ	4	م
طَرِبَ	3	ل
طَرَّبَ	4	ل/م
أَطْرَبَ	4	م
تَطَرَّبَ	5	ل/م
اِسْتَطْرَبَ	6	ل/م
طَرَحَ	3	م/ل
طَرِحَ	3	ل
طَرَّحَ	4	م
طارَحَ	4	م
تَطَرَّحَ	5	ل
تَطارَحَ	5	م
اِنْطَرَحَ	5	ل
اِطَّرَحَ	5	م
طَرَدَ	3	م
طَرَّدَ	4	م
طارَدَ	4	م
أَطْرَدَ	4	م
تَطارَدَ	5	ل
اِطَّرَدَ	5	ل
اِسْتَطْرَدَ	6	ل
طَرَّ	3	ل/م
طَرَّرَ	4	ل/م
أَطَرَّ	4	ل/م
طَرَزَ	3	م
طَرِزَ	3	ل
طَرَّزَ	4	م
تَطَرَّزَ	5	ل
طَرَسَ	3	م
طَرَّسَ	4	م
تَطَرَّسَ	5	ل
طَرِشَ	3	ل
تَطارَشَ	5	ل
طَرَفَ	3	ل/م
طَرُفَ	3	ل
طَرَّفَ	4	ل/م
أَطْرَفَ	4	ل/م
تَطَرَّفَ	5	ل/م
اِطَّرَفَ	5	م
اِسْتَطْرَفَ	6	م
طَرَقَ	3	ل/م
طَرَّقَ	4	ل/م
طارَقَ	4	م
أَطْرَقَ	4	ل/م
تَطَرَّقَ	5	ل
تَطارَقَ	5	ل
اِسْتَطْرَقَ	6	ل/م
طَرِمَ	3	ل
أَطْرَمَ	4	ل
تَطَرَّمَ	5	ل
طَرَى	3	ل
طَرُوَ	3	ل
طَرَّى	4	م
أَطْرَى	4	م
طَسَّ	3	ل/م
طَسَّسَ	4	ل
طَشَّ	3	ل
طَشَّ	3	م
أَطَشَّ	4	ل
طَعِمَ	3	ل/م
طَعَّمَ	4	ل/م
طاعَمَ	4	م
أَطْعَمَ	4	ل/م
تَطَعَّمَ	5	ل/م
تَطاعَمَ	5	ل
اِطَّعَمَ	5	ل
اِسْتَطْعَمَ	6	م
طَعَنَ	3	ل/م
طاعَنَ	4	م
تَطاعَنَ	5	ل
اِطَّعَنَ	5	ل
تَطَغَّمَ	5	ل
طَغَى	3	ل
أَطْغَى	4	م
تَطاغَى	5	ل
طَفِئَ	3	ل
طَفَّأَ	4	م
أَطْفَأَ	4	م
اِنْطَفَأَ	5	ل
طَفَحَ	3	ل/م
طَفَّحَ	4	م
أَطْفَحَ	4	م
اِطَّفَحَ	5	م
طَفَرَ	3	ل
طَفَرَ	3	ل/م
طَفَّرَ	4	ل/م
أَطْفَرَ	4	ل/م
اِطَّفَرَ	5	ل
طَفَسَ	3	ل
طَفِسَ	3	ل
طَفَّسَ	4	ل
طَفَّ	3	ل
طَفَّ	3	م
طَفَّفَ	4	ل/م
أَطَفَّ	4	ل/م
اِسْتَطَفَّ	6	ل/م
طَفِقَ	3	ل
أَطْفَقَ	4	م
طَفَلَ	3	ل
طَفُلَ	3	ل
طَفِلَ	3	ل
طَفَّلَ	4	ل/م
أَطْفَلَ	4	ل
تَطَفَّلَ	5	ل
طَفا	3	ل
أَطْفَى	4	ل
طَقَّ	3	ل
طَلَبَ	3	م
طَلِبَ	3	ل
طَلَّبَ	4	م
طالَبَ	4	م
أَطْلَبَ	4	ل/م
تَطَلَّبَ	5	م
اِطَّلَبَ	5	م
طَلَحَ	3	ل/م
طَلِحَ	3	ل
طَلَّحَ	4	ل/م
أَطْلَحَ	4	ل/م
طَلَسَ	3	ل/م
طَلِسَ	3	ل
طَلَّسَ	4	م
تَطَلَّسَ	5	ل
اِنْطَلَسَ	5	ل
طَلَعَ	3	ل/م
طَلَّعَ	4	ل/م
طالَعَ	4	م
أَطْلَعَ	4	ل/م
تَطَلَّعَ	5	ل
اِطَّلَعَ	5	ل/م
اِسْتَطْلَعَ	6	م
طَلَّفَ	4	ل
أطْلَفَ	4	ل/م
طَلَقَ	3	ل
طَلَقَ	3	م
طَلُقَ	3	ل
طَلِقَ	3	ل
طَلَّقَ	4	م
تَطَلَّقَ	5	ل
اِنْطَلَقَ	5	ل
اِطَّلَقَ	5	ل
اِسْتَطْلَقَ	6	ل/م
طَلَّ	3	ل
طَلَّ	3	م
طَلَّ	3	ل
أَطَلَّ	4	ل/م
تَطَلَّلَ	5	ل
تَطالَّ	5	ل
اِسْتَطَلَّ	6	ل
طَلَمَ	3	م
طَلَّمَ	4	م
طَلا	3	ل/م
طَلَى	3	ل/م
طَلِيَ	3	ل
طَلَّى	4	ل/م
أَطْلَى	4	ل
تَطَلَّى	5	ل
اِطَّلَى	5	ل
طَمَثَ	3	ل/م
طَمَحَ	3	ل
طَمَّحَ	4	ل
أَطْمَحَ	4	م
طَمَرَ	3	ل/م
طَمِرَ	3	ل
طَمَّرَ	4	م
أَطْمَرَ	4	م
اِطَّمَرَ	5	ل/م
طَمَسَ	3	ل
طَمَسَ	3	م/ل
طَمَّسَ	4	م
تَطَمَّسَ	5	ل
اِنْطَمَسَ	5	ل
طَمُعَ	3	ل
طَمِعَ	3	ل
طَمَّعَ	4	م/ل
أَطْمَعَ	4	م
تَطَمَّعَ	5	ل
طَمَلَ	3	ل/م
طَمِلَ	3	ل
أَطْمَلَ	4	م
اِنْطَمَلَ	5	ل
اِطَّمَلَ	5	م
طَمَّ	3	ل
طَمَّ	3	م
طَمَّمَ	4	ل
أَطَمَّ	4	ل
اِسْتَطَمَّ	6	ل
طَما	3	ل
طَنَأَ	3	ل
طَنِئَ	3	ل
أَطْنَأَ	4	ل
طَنِبَ	3	ل
طَنَّبَ	4	ل/م
طانَبَ	4	م
أطْنَبَ	4	ل
تَطانَبَ	5	ل
تَطَنَّجَ	5	ل
طَنِخَ	3	ل
طَنَّخَ	4	م
أَطْنَخَ	4	م
طَنَزَ	3	ل
طانَزَ	4	م
تَطانَزَ	5	ل
طَنِفَ	3	ل
طَنَّفَ	4	ل/م
أَطْنَفَ	4	ل
تَطَنَّفَ	5	ل/م
طَنَّ	3	ل
طَنَّنَ	4	ل
أَطَنَّ	4	م
طَنِيَ	3	ل
أَطْنَى	4	ل/م
اِطَّنَى	5	م
طَهُرَ	3	ل
طَهَّرَ	4	م
تَطَهَّرَ	5	ل
اِطَّهَرَ	5	ل
طَهَشَ	3	ل/م
طَهَّمَ	4	ل/م
تَطَهَّمَ	5	ل/م
طَها	3	م
أَطْهَى	4	ل
طاحَ	3	ل
طَوَّحَ	4	م/ل
طاوَحَ	4	م
أَطاحَ	4	م
تَطَوَّحَ	5	ل
تَطاوَحَ	5	ل/م
طادَ	3	ل
طَوَّدَ	4	ل/م
تَطَوَّدَ	5	ل
اِنْطادَ	5	ل
طارَ	3	م/ل
طَوَّرَ	4	م
تَطَوَّرَ	5	ل
طاسَ	3	ل/م
طَوَّسَ	4	ل/م
تَطَوَّسَ	5	ل
طَوَّشَ	4	ل/م
طاعَ	3	ل/م
طَوَّعَ	4	ل/م
طاوَعَ	4	م
أَطاعَ	4	ل/م
تَطَوَّعَ	5	ل/م
اِطَّوَّعَ	6	ل/م
تَطاوَعَ	5	ل
اِنْطاعَ	5	ل
اِسْتَطاعَ	6	م
طافَ	3	ل
طَوَّفَ	4	ل/م
أَطافَ	4	ل/م
تَطَوَّفَ	5	ل
اِطَّوَّفَ	6	ل
اِطّافَ	5	ل
اِسْتَطافَ	6	ل/م
طاقَ	3	م
طَوَّقَ	4	م
أَطاقَ	4	م/ل
تَطَوَّقَ	5	ل
اِطَّوَّقَ	6	ل
طالَ	3	ل/م
طَوِلَ	3	ل
طَوَّلَ	4	م/ل
طاوَلَ	4	ل/م
أَطالَ	4	ل/م
تَطَوَّلَ	5	ل
تطاوَلَ	5	ل
اِسْتَطالَ	6	ل/م
طَوَى	3	م
طَوِيَ	3	ل
طَوَّى	4	م
أَطْوَى	4	ل
تَطَوَّى	5	ل
اِنْطَوَى	5	ل
اِطَّوَى	5	ل
طابَ	3	ل
طَيَّبَ	4	م
طايبَ	4	م
أَطابَ	4	ل/م
تَطَيَّبَ	5	ل
تَطايَبَ	5	ل
اِسْتَطابَ	6	ل/م
طاحَ	3	ل
طَيَّحَ	4	م
أَطاحَ	4	م
تَطايَحَ	5	ل
طاخَ	3	ل/م
طَيَّخَ	4	ل/م
تَطَيَّخَ	5	ل
طارَ	3	ل
طَيَّرَ	4	م/ل
طايَرَ	4	م
أَطارَ	4	ل/م
تَطَيَّرَ	5	ل
اِطَّيَّرَ	6	ل
تَطايَرَ	5	ل
اِنْطارَ	5	ل
اِسْتَطارَ	6	ل/م
طاسَ	3	ل
طاشَ	3	ل
أَطاشَ	4	م
طاعَ	3	م/ل
طافَ	3	ل
طَيَّفَ	4	ل/م
أَطافَ	4	م
تَطَيَّفَ	5	ل/م
طانَ	3	ل/م
طَيَّنَ	4	م
أَطانَ	4	م
تَطَيَّنَ	5	ل
اِطَّيَّنَ	6	ل
ظَأَبَ	3	ل
ظاءَبَ	4	م
تَظاءَبَ	5	ل
ظَأَرَ	3	ل/م
ظاءَرَ	4	ل/م
أَظْأَرَ	4	م
اِظَّأَرَ	5	ل/م
ظَأَفَ	3	م
أَظْبَى	4	ل
ظَرِبَ	3	ل
ظَرَّ	3	ل/م
أَظَرَّ	4	ل
ظَرُفَ	3	ل
ظارَفَ	4	م
أَظْرَفَ	4	ل/م
تَظَرَّفَ	5	ل
تَظارَفَ	5	ل
اِسْتَظْرَفَ	6	م
ظَعَنَ	3	ل
أَظْعَنَ	4	م
ظَفَرَ	3	م
ظَفِرَ	3	ل
ظَفَّرَ	4	ل/م
أَظْفَرَ	4	م
تَظافَرَ	5	ل
ظَلَعَ	3	ل
ظَلَفَ	3	م
ظَلِفَ	3	ل
ظَلَّفَ	4	ل
أَظْلَفَ	4	م
ظَلَّ	3	ل
ظَلَّ	3	ل
ظَلَّلَ	4	ل/م
أَظَلَّ	4	ل/م
تَظَلَّلَ	5	ل
اِسْتَظَلَّ	6	ل
ظَلَمَ	3	ل/م
ظَلِمَ	3	ل
ظَلَّمَ	4	م
ظالَمَ	4	م
أَظْلَمَ	4	ل/م
تَظَلَّمَ	5	ل/م
تَظالَمَ	5	ل
اِنْظَلَمَ	5	ل
اِظَّلَمَ	5	ل
ظَمِئَ	3	ل
أَظْمَأَ	4	م
تَظَمَّأَ	5	ل
ظَمِيَ	3	ل
ظَنَّ	3	م/ل
أَظَنَّ	4	م
تَظَنَّنَ	5	م
تَظَنَّى	5	م
اِظَّنَّ	5	م
ظَهَرَ	3	ل/م
ظَهِرَ	3	ل
ظَهَّرَ	4	ل/م
ظاهَرَ	4	ل/م
أَظْهَرَ	4	ل/م
تَظاهَرَ	5	ل
اِسْتَظْهَرَ	6	ل/م
عَبَأَ	3	م/ل
عَبَّأَ	4	م
اِعْتَبَأَ	5	م
عَبَّ	3	م/ل
تَعَبَّبَ	5	م
عَبَثَ	3	ل/م
عَبِثَ	3	ل
عَبَدَ	3	م
