#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
أَشَّبَ	م/ل	112
تَأَشَّبَ	ل	126
اِئْتَشَبَ	ل	114
أَشَرَ	م	53
أَشِرَ	ل	56
أَشَّرَ	م/ل	112
أَشَّ	ل/م	58
تَأَشَّنَ	ل	126
أَصَدَ	م	53
أَصَّدَ	م	112
آصَدَ	م	106
أَصَرَ	م	54
اِئْتَصَرَ	ل	114
أَصَّ	ل/م	58
أَصَّصَ	م	112
اِئْتَصَّ	ل	114
أَصَلَ	م	53
أَصُلَ	ل	57
أَصِلَ	ل	56
أَصَّلَ	م	112
آصَلَ	ل	106
تَأَصَّلَ	ل	126
اِسْتَأْصَلَ	ل/م	129
أَضَّ	ل/م	60
آضَّ	ل	110
اِئْتَضَّ	ل/م	114
أَضِمَ	ل	56
أَطَرَ	م	53
أَطَّرَ	م	112
تَأَطَّرَ	ل	126
اِنْأَطَرَ	ل	119
أَطَّ	ل	59
أَطَمَ	ل	54
أَطِمَ	ل	56
أَطَّمَ	م	112
آطَمَ	م	106
لتَأَطَّمَ	ل	126
أَفَخَ	م	54
أَفِدَ	ل	56
اِسْتَأْفَدَ	ل	129
أَفَرَ	ل	54
أَفِرَ	ل	56
اِسْتَأْفَرَ	ل	129
أَفَّ	ل	58
أَفَّفَ	ل/م	112
تَأَفَّفَ	ل	126
أَفَقَ	ل/م	54
أَفِقَ	ل	56
تَأَفَّقَ	ل	126
أَفَكَ	ل/م	54
أَفِكَ	ل	56
أَفَّكَ	ل/م	112
آفَكَ	م	106
تَأَفَّكَ	ل	126
اِئْتَفَكَ	ل	114
أَفَلَ	ل	53
أَفِلَ	ل	56
أَفَنَ	ل/م	54
أَفِنَ	ل	56
تَأَفَّنَ	ل	126
أَكَدَ	م	53
أَكَّدَ	م	112
آكَدَ	م	106
تَأَكَّدَ	ل	126
أَكَر	م	53
آكَرَ	م	109
أَكَّفَ	م	112
أَكَّ	ل	58
اِئْتَكَّ	ل	115
أَكَلَ	م	53
أَكِلَ	ل	56
أَكَّلَ	ل/م	112
آكَلَ	ل/م	106
آكَلَ	م	109
تَأَكَّلَ	ل	126
اِئْتَكَلَ	ل	114
اِسْتَأْكَلَ	م	129
اِسْتَأْكَمَ	ل	129
أَلَبَ	ل/م	53
أَلِبَ	ل	56
أَلَّبَ	م/ل	112
تَأَلَّبَ	ل	126
أَلَتَ	م/ل	54
آلَتَ	م	106
أَلَسَ	م	54
آلَسَ	م	109
تَأَلَّسَ	ل	126
أَلَفَ	م	54
أَلِفَ	م	56
أَلَّفَ	ل/م	112
آلَفَ	ل/م	106
آلَفَ	م	109
تَأَلَّفَ	ل/م	126
اِئْتَلَفَ	ل	114
أَلَقَ	ل	54
تَأَلَّقَ	ل	126
اِئْتَلَقَ	ل	114
أَلَكَ	ل/م	54
اِسْتَأْلَكَ	م	129
أَلَّ	ل	58
أَلَّ	ل/م	59
أَلِلَ	ل	56
أَلَّلَ	م	112
تَأَلَّلَ	ل	126
اِئْتَلَّ	ل	115
أَلِمَ	ل	56
آلَمَ	م	106
تَأَلَّمَ	ل	126
ألَهَ	ل/م	55
أَلِهَ	ل	56
أَلَّهَ	م	112
تَأَلَّهَ	ل	126
أَلا	ل/م	62
أَلِيَ	ل	67
أَلَّى	ل/م	113
آلَى	ل	106
تَأَلَّى	ل	127
اِئْتَلَى	ل	116
أَمَتَ	م	54
أَمَّتَ	م	112
أَمَجَ	ل	54
أَمِجَ	ل	56
أَمَحَ	ل	54
أَمِدَ	ل	56
أَمَّدَ	م	112
تَأَمَّدَ	ل	126
أَمَرَ	م/ل	53
أَمُرَ	ل	57
أَمِرَ	ل	56
أَمَّرَ	م	112
آمَرَ	م	106
تَأَمَّرَ	م	109
تَآمَرَ	ل	123
اِئْتَمَرَ	ل/م	114
اِسْتَأْمَرَ	م	129
أَمِضَ	ل	56
تَأَمَّعَ	ل	126
أَمَلَ	م	53
أَمَّلَ	م	112
تَأَمَّلَ	ل/م	126
أَمَّ	ل/م	58
أَمَّ	ل	60
أَمَّمَ	م	112
تَأَمَّمَ	ل/م	126
اِئْتَمَّ	ل/م	115
اِسْتَأَمَّ	م	130
أَمُنَ	ل	57
أَمِنَ	ل/م	56
أَمَّنَ	ل/م	112
آمَنَ	ل/م	106
اِئْتَمَنَ	م	114
اِسْتَأْمَنَ	ل/م	129
أَمَهَ	ل	53
أَمِهَ	ل/م	56
تَأَمَّهَ	م	126
أَما	ل	62
أَمُوَ	ل	64
أَمِيَ	ل	63
أَمَّى	م	113
تَأَمَّى	ل/م	127
اِسْتَأْمَى	م	131
أَنَّبَ	م	112
أَنَتَ	ل/م	54
أَنُثَ	ل	57
أَنَّثَ	ل/م	112
آنَثَ	ل	106
تَأَنَّثَ	ل	126
أَنَحَ	ل	54
أَنَسَ	ل	54
أَنُسَ	ل	57
أَنِسَ	ل	56
أَنَّسَ	م	112
آنَسَ	م	106
آنَسَ	م	109
تَأَنَّسَ	ل	126
تَآنَسَ	ل	123
اِسْتَأْنَسَ	ل/م	129
أَنَضَ	ل	54
أَنُضَ	ل	57
آنَضَ	م	106
أَنَفَ	ل/م	53
أَنِفَ	ل/م	56
أَنَّفَ	م	112
آنَفَ	م	106
تَأَنَّفَ	ل/م	126
اِئْتَنَفَ	م	114
اِسْتَأْنَفَ	م	129
أَنِقَ	ل/م	56
أَنَّقَ	م	112
آنَقَ	م	106
تَأَنَّقَ	ل/م	126
أَنَّ	ل	59
أَنَّنَ	م	112
تَأَنَّنَ	م	126
أَنَى	ل	65
أَنِيَ	ل	67
أَنَّى	ل/م	113
آنَى	م	106
تَأَنَّى	ل/م	127
اِسْتَأْنَى	ل/م	131
أَهَّبَ	ل	112
تَأَهَّبَ	ل	126
أَهَلَ	ل	53
أَهِلَ	ل	56
أَهَّلَ	ل/م	112
آهَلَ	م	106
تَأَهَّلَ	ل	126
اِئْتَهَلَ	ل	114
اِسْتَأْهَلَ	ل/م	129
أَهَّ	ل	58
أَهَى	ل	65
آبَ	ل/م	68
أَوَّبَ	ل	112
آوَبَ	م	109
تَأَوَّبَ	ل/م	126
تَآوَبَ	ل	123
آدَ	ل/م	68
أَوِدَ	ل	69
أَوَّدَ	م	112
تَأَوَّدَ	ل/م	126
اِسْتَأْوَرَ	ل	129
آسَ	م	68
اِسْتَآسَ	م	132
آفَ	ل	68
آقَ	ل	68
أَوَّقَ	م	112
تَأَوَّقَ	ل	126
آلَ	ل/م	68
أَوِلَ	ل	69
أَوَّلَ	م	112
تَأَوَّلَ	ل	126
اِئْتالَ	م	117
آمَ	ل/م	68
أَوَّمَ	م	112
آنَ	ل	68
أَوَّنَ	ل	112
تَأَوَّنَ	ل	126
آهَ	ل	68
أَوَّهَ	ل	112
تَأَوَّهَ	ل	126
أَوَى	ل/م	70
أَوَّى	ل/م	113
آوَى	ل/م	106
تَأَوَّى	ل/م	127
تَآوَى	ل	125
اِئْتَوَى	ل/م	116
اِسْتَأْوَى	م	131
آبَ	ل	71
آدَ	ل	71
أَيَّدَ	م	112
آيَدَ	ل/م	106
آيَدَ	م	109
تَأَيَّدَ	ل	126
آسَ	ل/م	71
أَيِسَ	ل	72
أَيَّسَ	ل/م	112
آيَسَ	م	106
تَأَيَّسَ	ل	126
آضَ	ل/م	71
أَيِكَ	ل	72
اِسْتَأْيَكَ	ل	129
آمَ	ل/م	71
أَيَّمَ	م	112
تَأَيَّمَ	ل	126
اِئْتامَ	ل/م	117
آنَ	ل	71
أَيَّهَ	ل	112
أَيَّا	ل/م	113
تَأَيَّا	ل/م	127
بَأَرَ	ل/م	26
أَبْأَرَ	م	102
اِبْتَأَرَ	ل/م	114
بَؤُسَ	ل	28
بَئِسَ	ل	27
أَبْأَسَ	ل	102
تَبَأَّسَ	ل	126
تَباءَسَ	ل	123
اِبْتَأَسَ	ل	114
بَأَشَ	م	26
بَؤُلَ	ل	28
بَأَى	ل/م	129
بَتَأَ	ل	14
بَتَّ	ل	9
بَتَّ	م	8
بَتَّتَ	م	112
أَبَتَّ	ل/م	103
تَبَتَّتَ	ل	126
اِنْبَتَّ	ل	120
بَتَرَ	م	1
بَتِرَ	ل	4
أَبْتَرَ	م	102
تَبَتَّرَ	ل	126
اِنْبَتَرَ	ل	119
بَتَعَ	ل	3
بَتَعَ	م	2
بَتِعَ	ل	4
بَتَكَ	م	2
بَتَّكَ	م	112
تَبَتَّكَ	ل	126
اِنْبَتَكَ	ل	119
بَتَلَ	م	2
بَتِلَ	ل	4
بَتَّلَ	ل	4
تَبَتَّلَ	ل	126
اِنْبَتَلَ	ل	119
بَثَّ	م	8
باثَّ	م	110
أَبَثَّ	م	103
اِنْبَثَّ	ل	120
اِسْتَبَثَّ	م	130
بَثِرَ	ل	4
تَبَثَّرَ	ل	126
بَثِعَ	ل	4
بَثَّعَ	ل	112
تَبَثَّعَ	ل	126
بَثَقَ	ل/م	1
بَثَّقَ	م	112
اِنْبَثَقَ	ل	119
بَجَّ	م	8
باجَّ	م	110
تَباجَّ	ل	124
بَجَحَ	ل/م	3
بَجِحَ	ل	4
بَجَّحَ	م	112
أَبْجَحَ	م	102
تَبَجَّحَ	ل	126
تَباجَحَ	ل	123
اِبْتَجَحَ	ل	114
بَجَدَ	ل	1
بَجِرَ	ل	4
أَبْجَرَ	ل	102
تَبَجَّرَ	م	126
بَجَسَ	ل/م	1
بَجَّسَ	م	112
تَبَجَّسَ	ل	126
اِنْبَجَسَ	ل	119
بَجَلَ	ل	1
بَجُلَ	ل	7
بَجَّلَ	م	112
أَبْجَلَ	م	102
بَجَمَ	ل	2
بَجَّمَ	ل	112
بَحُتَ	ل	7
باحَتَ	م	109
بَحَثَ	م/ل	3
باحَثَ	م	109
تَبَحَّثَ	م/ل	126
تَباحَثَ	ل	123
اِبْتَحَثَ	م/ل	114
اِسْتَبْحَثَ	م/ل	126
بَحَّ	ل	10
أَبَحَّ	م	103
بَحَرَ	م	3
بَحِرَ	ل	4
أَبْحَرَ	ل	102
تَبَحَّرَ	ل/م	126
اِسْتَبْحَرَ	ل	129
بَخَرَ	ل	3
بَخِرَ	ل	4
بَخَّرَ	ل/م	112
أَبْخَرَ	م	102
تَبَخَّرَ	ل	126
بَخَسَ	م	3
بَخَّسَ	ل	112
