#verbs extracted from القاعدة الصرفية
# الحقل الثالث يمثل رقم جدول التصريف في القاعدة الصرفية
# الحقل الثاني: لازم، متعدي أو مشترك بينهما
verb	transitive	Table-base
ضارَبَ	م/ل	109
أَضْرَبَ	ل/م	102
تَضَرَّبَ	ل	126
تَضارَبَ	ل	123
اِضْطَرَبَ	ل	114
اِسْتَضْرَبَ	ل	129
ضَرَجَ	م	1
ضَرَّجَ	م	112
تَضَرَّجَ	ل	126
اِنْضَرَجَ	ل	119
ضَرَحَ	ل	1
ضَرَحَ	م	3
ضارَحَ	م	109
أَضْرَحَ	م	102
اِنْضَرَحَ	ل	119
اِضْطَرَحَ	م	114
ضَرَّ	م/ل	8
ضارَّ	م	110
أَضَرَّ	ل/م	103
تَضَرَّرَ	ل	126
تَضارَّ	ل	124
اِضْطَرَّ	م	115
اِسْتَضَرَّ	ل	130
ضَرَسَ	م	2
ضَرِسَ	ل	4
ضَرَّسَ	م	112
ضارَسَ	م	109
أَضْرَسَ	م/ل	102
تَضَرَّسَ	ل	126
تَضارَسَ	ل	123
ضَرَطَ	ل	2
ضَرِطَ	ل	4
ضَرَّطَ	ل/م	112
أَضْرَطَ	م	102
ضَرَعَ	ل	3
ضَرِعَ	ل	4
ضارَعَ	م	109
أَضْرَعَ	ل/م	102
تَضَرَّعَ	ل	126
تَضارَعَ	ل	123
ضَرُكَ	ل	7
ضَرِمَ	ل	4
ضَرَّمَ	م	112
أَضْرَمَ	م	102
تَضَرَّمَ	ل	126
اِضْطَرَمَ	ل	114
اِسْتَضْرَمَ	ل	129
ضَرا	ل	17
ضَرَى	ل	21
ضَرِيَ	ل	23
ضَرَّى	م	113
أَضْرَى	م	104
اِسْتَضْرَى	م/ل	131
ضَزَنَ	م	1
تَضازَنَ	ل	123
ضَعَّ	م	8
ضَعَفَ	م	3
ضَعُفَ	ل	7
ضَعَّفَ	م	112
ضاعَفَ	م	109
أَضْعَفَ	ل/م	102
تَضاعَفَ	ل	123
اِسْتَضْعَفَ	م	129
ضَغَثَ	م	3
ضَغَّثَ	م	112
أَضْغَثَ	م	102
ضَغَطَ	م/ل	3
ضاغَطَ	م	109
تَضاغَطَ	ل	123
ضَغِنَ	ل	4
ضاغَنَ	م	109
أَضْغَنَ	ل	102
تَضاغَنَ	ل	123
اِضْطَغَنَ	ل	114
ضَغا	ل	17
ضَغَّى	م	113
أَضْغَى	م	104
تَضاغَى	ل	125
ضَفَرَ	ل/م	2
ضَفَّرَ	م	112
ضافَرَ	م	109
تَضافَرَ	ل	123
اِنضَفَرَ	ل	119
ضَفَزَ	ل/م	1
اِضْطَفَزَ	م	114
ضَفَّ	ل/م	8
تَضافَّ	ل	124
ضَفَنَ	ل/م	2
ضافَنَ	م	109
تَضافَنَ	ل	123
ضَفا	ل	17
ضَكَّ	م	8
ضَلَعَ	ل/م	3
ضَلُعَ	ل	7
ضَلِعَ	ل	4
ضَلَّعَ	م	112
أَضْلَعَ	ل/م	102
تَضَلَّعَ	ل	126
اِضْطَلَعَ	ل	114
اِسْتَضْلَعَ	ل	129
ضَلَّ	ل/م	9
ضَلَّ	ل/م	10
ضَلَّلَ	م	112
أَضَلَّ	م	103
تَضَلَّلَ	ل	126
تَضالَّ	ل	124
اِسْتَضَلَّ	-	126
ضَمَخَ	م	1
ضَمَّخَ	م	112
تَضَمَّخَ	ل	126
ضَمَدَ	م	2
ضَمِدَ	ل	4
ضَمَّدَ	م	112
أَضْمَدَ	م	102
تَضَمَّدَ	ل	126
ضَمَرَ	ل	1
ضَمُرَ	ل	7
ضَمَّرَ	م	112
أَضْمَرَ	ل/م	102
تَضَمَّرَ	ل	126
اِنْضَمَرَ	ل	119
اِضْطَمَرَ	ل	114
ضَمَزَ	ل/م	1
ضَمَسَ	م	2
ضَمَّ	ل/م	8
ضامَّ	م	110
تَضامَّ	ل	124
اِنْضَمَّ	ل	120
اِضْطَمَّ	ل/م	115
ضَمِنَ	ل/م	4
ضَمَّنَ	م	112
تَضَمَّنَ	م	126
تَضامَنَ	ل	123
ضَنَأَ	ل	14
أَضْنَأَ	ل	102
ضَنَكَ	م	1
ضَنُكَ	ل	7
أَضْنَكَ	م	102
تَضَنَّكَ	ل	126
ضَنَّ	ل	10
ضَنا	ل	17
ضَنِيَ	ل	19
ضانَى	م	111
أَضْنَى	ل	104
تَضَنَّى	ل	127
ضاهَأَ	م	109
ضَهَبَ	ل/م	3
ضَهَّبَ	م	112
ضاهَبَ	م	109
ضَهَدَ	م	3
أَضْهَدَ	م/ل	102
اِضْطَهَدَ	م	114
ضَهَلَ	ل/م	3
أَضْهَلَ	ل/م	102
تَضَهَّلَ	ل	126
اِسْتَضْهَلَ	م	129
ضَهِيَ	ل	23
ضاهَى	م	111
أَضْهَى	ل	104
ضاءَ	ل	38
ضَوَّأَ	م	112
أَضاءَ	ل/م	105
تَضَوَّأَ	م	126
اِسْتَضاءَ	ل	132
ضاجَ	ل	34
تَضَوَّجَ	ل	126
اِنْضاجَ	ل	122
اِنْضَوَجَ	ل	119
ضارَ	ل/م	34
تَضَوَّرَ	ل	126
ضَوِطَ	ل	35
ضاعَ	ل/م	34
ضَوَّعَ	م	112
تَضَوَّعَ	ل	126
اِنْضاعَ	ل	122
ضانَ	ل	34
تَضَوَّنَ	ل	126
ضَوَى	ل/م	43
ضَوِيَ	ل	44
أَضْوَى	ل/م	105
اِنْضَوَى	ل	121
ضاحَ	ل/م	45
ضَيَّحَ	م	112
تَضَيَّحَ	ل	126
ضارَ	م	45
ضازَ	ل/م	45
ضاعَ	ل	45
ضَيَّعَ	م	112
أَضاعَ	ل/م	105
ضافَ	ل/م	45
ضَيَّفَ	م	112
أَضافَ	ل/م	105
تَضَيَّفَ	م	126
تَضايَفَ	ل/م	123
اِنْضافَ	ل	122
اِسْتَضافَ	م/ل	132
ضاقَ	ل	45
ضَيَّقَ	م	112
ضايَقَ	م	109
أَضاقَ	ل/م	105
تَضايَقَ	ل	123
ضامَ	م	45
اِسْتَضامَ	م	132
طَبَّ	ل	9
طَبَّ	م/ل	8
طَبَّبَ	م	112
طابَّ	م	110
تَطَبَّبَ	ل	126
اِسْتَطَبَّ	ل	130
طَبَخَ	م	1
طَبَّخَ	م	112
تَطَبَّخَ	ل	126
اِنْطَبَخَ	ل	119
اِطَّبَخَ	ل/م	118
طَبَرَ	ل	1
طَبَعَ	م/ل	3
طَبِعَ	ل	4
طَبَّعَ	م	112
أَطْبَعَ	م	102
تَطَبَّعَ	ل	126
اِنْطَبَعَ	ل	119
طَبَّقَ	ل/م	112
طابَقَ	ل/م	109
أَطْبَقَ	ل/م	102
تَطَبَّقَ	ل	126
تَطابَقَ	ل	123
اِنْطَبَقَ	ل	119
طَبَلَ	ل	1
طَبَّلَ	ل	112
طَبَنَ	م/ل	2
طَبِنَ	ل	4
طابَنَ	-	109
طَبا	م	17
طَبِيَ	ل	23
اِطَّبَى	م	116
طَثَّ	م	8
طَجَنَ	م	1
طَجَّنَ	م	112
طَحَّ	م	8
أَطَحَّ	م	103
اِنْطَحَّ	ل	120
طَحَرَ	ل/م	3
طَحَلَ	م	3
طَحِلَ	ل	4
طَحَنَ	م	3
طَحَّنَ	م	112
تَطَحَّنَ	ل	126
اِنْطَحَنَ	ل	119
طَحا	ل/م	17
طَحَّى	ل	113
تَطَحَّى	ل	127
طَخَّ	ل	9
طَخَّ	م	8
طَخا	ل	17
طَرَأَ	ل	14
طَرُؤَ	ل	16
طَرَّأَ	م	112
طَرِبَ	ل	4
طَرَّبَ	ل/م	112
أَطْرَبَ	م	102
تَطَرَّبَ	ل/م	126
اِسْتَطْرَبَ	ل/م	129
طَرَحَ	م/ل	3
طَرِحَ	ل	4
طَرَّحَ	م	112
طارَحَ	م	109
تَطَرَّحَ	ل	126
تَطارَحَ	م	123
اِنْطَرَحَ	ل	119
اِطَّرَحَ	م	118
طَرَدَ	م	1
طَرَّدَ	م	112
طارَدَ	م	109
أَطْرَدَ	م	102
تَطارَدَ	ل	123
اِطَّرَدَ	ل	118
اِسْتَطْرَدَ	ل	129
طَرَّ	ل/م	8
طَرَّرَ	ل/م	112
أَطَرَّ	ل/م	103
طَرَزَ	م	1
طَرِزَ	ل	4
طَرَّزَ	م	112
تَطَرَّزَ	ل	126
طَرَسَ	م	2
طَرَّسَ	م	112
تَطَرَّسَ	ل	126
طَرِشَ	ل	4
تَطارَشَ	ل	123
طَرَفَ	ل/م	2
طَرُفَ	ل	7
طَرَّفَ	ل/م	112
أَطْرَفَ	ل/م	102
تَطَرَّفَ	ل/م	126
اِطَّرَفَ	م	118
اِسْتَطْرَفَ	م	129
طَرَقَ	ل/م	1
طَرَّقَ	ل/م	112
طارَقَ	م	109
أَطْرَقَ	ل/م	102
تَطَرَّقَ	ل	126
تَطارَقَ	ل	123
اِسْتَطْرَقَ	ل/م	129
طَرِمَ	ل	4
أَطْرَمَ	ل	102
تَطَرَّمَ	ل	126
طَرَى	ل	19
طَرُوَ	ل	20
طَرَّى	م	113
أَطْرَى	م	104
طَسَّ	ل/م	8
طَسَّسَ	ل	112
طَشَّ	ل	9
طَشَّ	م	8
أَطَشَّ	ل	103
طَعِمَ	ل/م	4
طَعَّمَ	ل/م	112
طاعَمَ	م	109
أَطْعَمَ	ل/م	102
تَطَعَّمَ	ل/م	126
تَطاعَمَ	ل	123
اِطَّعَمَ	ل	118
اِسْتَطْعَمَ	م	129
طَعَنَ	ل/م	3
طاعَنَ	م	109
تَطاعَنَ	ل	123
اِطَّعَنَ	ل	118
تَطَغَّمَ	ل	126
طَغَى	ل	22
أَطْغَى	م	104
تَطاغَى	ل	125
طَفِئَ	ل	15
طَفَّأَ	م	112
أَطْفَأَ	م	102
اِنْطَفَأَ	ل	119
طَفَحَ	ل/م	3
طَفَّحَ	م	112
أَطْفَحَ	م	102
اِطَّفَحَ	م	118
طَفَرَ	ل	1
طَفَرَ	ل/م	2
طَفَّرَ	ل/م	112
أَطْفَرَ	ل/م	102
اِطَّفَرَ	ل	118
طَفَسَ	ل	2
طَفِسَ	ل	4
طَفَّسَ	ل	112
طَفَّ	ل	9
طَفَّ	م	8
طَفَّفَ	ل/م	112
أَطَفَّ	ل/م	103
اِسْتَطَفَّ	ل/م	130
طَفِقَ	ل	4
أَطْفَقَ	م	102
طَفَلَ	ل	1
طَفُلَ	ل	7
طَفِلَ	ل	4
طَفَّلَ	ل/م	112
أَطْفَلَ	ل	102
تَطَفَّلَ	ل	126
طَفا	ل	17
أَطْفَى	ل	104
طَقَّ	ل	9
طَلَبَ	م	1
طَلِبَ	ل	4
طَلَّبَ	م	112
طالَبَ	م	109
أَطْلَبَ	ل/م	102
تَطَلَّبَ	م	126
اِطَّلَبَ	م	118
طَلَحَ	ل/م	3
طَلِحَ	ل	4
طَلَّحَ	ل/م	112
أَطْلَحَ	ل/م	102
طَلَسَ	ل/م	2
طَلِسَ	ل	4
طَلَّسَ	م	112
تَطَلَّسَ	ل	126
اِنْطَلَسَ	ل	119
طَلَعَ	ل/م	1
طَلَّعَ	ل/م	112
طالَعَ	م	109
أَطْلَعَ	ل/م	102
تَطَلَّعَ	ل	126
اِطَّلَعَ	ل/م	118
اِسْتَطْلَعَ	م	129
طَلَّفَ	ل	112
أطْلَفَ	ل/م	102
طَلَقَ	ل	1
طَلَقَ	م	2
طَلُقَ	ل	7
طَلِقَ	ل	4
طَلَّقَ	م	112
تَطَلَّقَ	ل	126
اِنْطَلَقَ	ل	119
اِطَّلَقَ	ل	118
اِسْتَطْلَقَ	ل/م	129
طَلَّ	ل	9
طَلَّ	م	8
طَلَّ	ل	10
أَطَلَّ	ل/م	103
تَطَلَّلَ	ل	126
تَطالَّ	ل	124
اِسْتَطَلَّ	ل	130
طَلَمَ	م	1
طَلَّمَ	م	112
طَلا	ل/م	17
طَلَى	ل/م	21
طَلِيَ	ل	19
طَلَّى	ل/م	112
أَطْلَى	ل	104
تَطَلَّى	ل	127
اِطَّلَى	ل	116
طَمَثَ	ل/م	2
طَمَحَ	ل	3
طَمَّحَ	ل	112
أَطْمَحَ	م	102
طَمَرَ	ل/م	2
طَمِرَ	ل	4
طَمَّرَ	م	112
أَطْمَرَ	م	102
اِطَّمَرَ	ل/م	118
طَمَسَ	ل	1
طَمَسَ	م/ل	2
طَمَّسَ	م	112
تَطَمَّسَ	ل	126
اِنْطَمَسَ	ل	119
طَمُعَ	ل	7
طَمِعَ	ل	4
طَمَّعَ	م/ل	112
أَطْمَعَ	م	102
تَطَمَّعَ	ل	126
طَمَلَ	ل/م	1
طَمِلَ	ل	4
أَطْمَلَ	م	102
اِنْطَمَلَ	ل	119
اِطَّمَلَ	م	118
طَمَّ	ل	9
طَمَّ	م	8
طَمَّمَ	ل	112
أَطَمَّ	ل	103
اِسْتَطَمَّ	ل	130
طَما	ل	17
طَنَأَ	ل	14
طَنِئَ	ل	15
أَطْنَأَ	ل	102
طَنِبَ	ل	4
طَنَّبَ	ل/م	112
طانَبَ	م	109
أطْنَبَ	ل	102
تَطانَبَ	ل	123
تَطَنَّجَ	ل	126
طَنِخَ	ل	4
طَنَّخَ	م	112
أَطْنَخَ	م	102
طَنَزَ	ل	1
طانَزَ	م	109
تَطانَزَ	ل	123
طَنِفَ	ل	4
طَنَّفَ	ل/م	112
أَطْنَفَ	ل	102
تَطَنَّفَ	ل/م	126
طَنَّ	ل	9
طَنَّنَ	ل	112
أَطَنَّ	م	103
طَنِيَ	ل	23
أَطْنَى	ل/م	104
اِطَّنَى	م	116
طَهُرَ	ل	7
طَهَّرَ	م	112
تَطَهَّرَ	ل	126
اِطَّهَرَ	ل	118
طَهَشَ	ل/م	3
طَهَّمَ	ل/م	112
تَطَهَّمَ	ل/م	126
طَها	م	17
أَطْهَى	ل	104
طاحَ	ل	34
طَوَّحَ	م/ل	112
طاوَحَ	م	109
أَطاحَ	م	105
تَطَوَّحَ	ل	126
تَطاوَحَ	ل/م	123
طادَ	ل	34
طَوَّدَ	ل/م	112
تَطَوَّدَ	ل	126
اِنْطادَ	ل	122
طارَ	م/ل	34
طَوَّرَ	م	112
تَطَوَّرَ	ل	126
طاسَ	ل/م	34
طَوَّسَ	ل/م	112
تَطَوَّسَ	ل	126
طَوَّشَ	ل/م	112
طاعَ	ل/م	34
طَوَّعَ	ل/م	112
طاوَعَ	م	109
أَطاعَ	ل/م	105
تَطَوَّعَ	ل/م	126
اِطَّوَّعَ	ل/م	126
تَطاوَعَ	ل	123
اِنْطاعَ	ل	122
اِسْتَطاعَ	م	132
طافَ	ل	34
طَوَّفَ	ل/م	112
أَطافَ	ل/م	105
تَطَوَّفَ	ل	126
اِطَّوَّفَ	ل	126
اِطّافَ	ل	117
اِسْتَطافَ	ل/م	132
طاقَ	م	34
طَوَّقَ	م	112
أَطاقَ	م/ل	105
تَطَوَّقَ	ل	126
اِطَّوَّقَ	ل	126
طالَ	ل/م	34
طَوِلَ	ل	35
طَوَّلَ	م/ل	112
طاوَلَ	ل/م	109
أَطالَ	ل/م	105
تَطَوَّلَ	ل	126
تطاوَلَ	ل	123
اِسْتَطالَ	ل/م	132
طَوَى	م	43
طَوِيَ	ل	44
طَوَّى	م	113
أَطْوَى	ل	104
تَطَوَّى	ل	127
اِنْطَوَى	ل	121
اِطَّوَى	ل	116
طابَ	ل	45
طَيَّبَ	م	112
طايبَ	م	109
أَطابَ	ل/م	105
تَطَيَّبَ	ل	126
تَطايَبَ	ل	123
اِسْتَطابَ	ل/م	132
طاحَ	ل	45
طَيَّحَ	م	112
أَطاحَ	م	105
تَطايَحَ	ل	123
طاخَ	ل/م	45
طَيَّخَ	ل/م	112
تَطَيَّخَ	ل	126
طارَ	ل	45
طَيَّرَ	م/ل	112
طايَرَ	م	109
أَطارَ	ل/م	105
تَطَيَّرَ	ل	126
اِطَّيَّرَ	ل	126
تَطايَرَ	ل	123
اِنْطارَ	ل	122
اِسْتَطارَ	ل/م	132
طاسَ	ل	45
طاشَ	ل	45
أَطاشَ	م	105
طاعَ	م/ل	45
طافَ	ل	45
طَيَّفَ	ل/م	112
أَطافَ	م	105
تَطَيَّفَ	ل/م	126
طانَ	ل/م	45
طَيَّنَ	م	112
أَطانَ	م	015
تَطَيَّنَ	ل	126
اِطَّيَّنَ	ل	126
ظَأَبَ	ل	26
ظاءَبَ	م	109
تَظاءَبَ	ل	123
ظَأَرَ	ل/م	126
ظاءَرَ	ل/م	109
أَظْأَرَ	م	102
اِظَّأَرَ	ل/م	118
ظَأَفَ	م	26
أَظْبَى	ل	104
ظَرِبَ	ل	4
ظَرَّ	ل/م	8
أَظَرَّ	ل	103
ظَرُفَ	ل	7
ظارَفَ	م	109
أَظْرَفَ	ل/م	102
تَظَرَّفَ	ل	126
تَظارَفَ	ل	123
اِسْتَظْرَفَ	م	129
ظَعَنَ	ل	3
أَظْعَنَ	م	102
ظَفَرَ	م	2
ظَفِرَ	ل	4
ظَفَّرَ	ل/م	112
أَظْفَرَ	م	102
تَظافَرَ	ل	123
ظَلَعَ	ل	3
ظَلَفَ	م	2
ظَلِفَ	ل	4
ظَلَّفَ	ل	112
أَظْلَفَ	م	102
ظَلَّ	ل	9
ظَلَّ	ل	10
ظَلَّلَ	ل/م	112
أَظَلَّ	ل/م	103
تَظَلَّلَ	ل	126
اِسْتَظَلَّ	ل	130
ظَلَمَ	ل/م	2
ظَلِمَ	ل	4
ظَلَّمَ	م	112
ظالَمَ	م	109
أَظْلَمَ	ل/م	102
تَظَلَّمَ	ل/م	126
تَظالَمَ	ل	123
اِنْظَلَمَ	ل	119
اِظَّلَمَ	ل	118
ظَمِئَ	ل	15
أَظْمَأَ	م	102
تَظَمَّأَ	ل	126
ظَمِيَ	ل	23
ظَنَّ	م/ل	8
أَظَنَّ	م	103
تَظَنَّنَ	م	126
تَظَنَّى	م	127
اِظَّنَّ	م	115
ظَهَرَ	ل/م	3
ظَهِرَ	ل	4
ظَهَّرَ	ل/م	112
ظاهَرَ	ل/م	109
أَظْهَرَ	ل/م	102
تَظاهَرَ	ل	123
اِسْتَظْهَرَ	ل/م	129
عَبَأَ	م/ل	14
عَبَّأَ	م	112
اِعْتَبَأَ	م	114
عَبَّ	م/ل	8
تَعَبَّبَ	م	126
عَبَثَ	ل/م	2
عَبِثَ	ل	4
عَبَدَ	م	1
عَبُدَ	ل	7
عَبِدَ	ل	4
عَبَّدَ	م	112
أَعْبَدَ	ل/م	102
تَعَبَّدَ	ل/م	126
اِعْتَبَدَ	م	114
اِسْتَعْبَدَ	م	129
عَبَرَ	ل/م	1
عَبِرَ	ل	4
عَبَّرَ	ل/م	112
اِعْتَبَرَ	م/ل	114
اِسْتَعْبَرَ	ل/م	129
عَبَسَ	ل	2
عَبِسَ	ل	4
عَبَّسَ	ل	112
تَعَبَّسَ	ل	126
عَبَطَ	ل/م	2
أَعْبَطَ	م	102
اِعْتَبَطَ	م	114
عَبِقَ	ل	4
عَبَّقَ	م	112
تَعَبَّقَ	ل	126
عَبَلَ	ل/م	2
عَبُلَ	ل	7
عَبِلَ	ل	4
أَعْبَلَ	ل	102
عَبا	ل/م	17
عَبَّى	م	113
عَتَبَ	ل/م	1/2
عَتَّبَ	ل/م	112
عاتَبَ	م	109
أَعْتَبَ	م/ل	102
تَعَتَّبَ	ل/م	126
تَعاتَبَ	ل	123
اِعْتَتَبَ	ل/م	114
اِسْتَعْتَبَ	م	129
عَتَّ	م	8
عَتَّ	ل	10
عاتَّ	م	110
تَعَتَّتَ	ل	126
عَتُدَ	ل	7
أَعْتَدَ	م	102
تَعَتَّدَ	ل	126
عَتَرَ	ل	2
عَتَقَ	ل	2
عَتُقَ	ل	7
عَتَّقَ	م	112
أَعْتَقَ	م	102
عَتَكَ	ل/م	2
عَتَلَ	م	2
عَتِلَ	ل	4
تَعَتَّلَ	ل	126
اِنْعَتَلَ	ل	119
عَتَمَ	ل/م	2
عَتَّمَ	ل/م	112
أَعْتَمَ	ل/م	102
اِسْتَعْتَمَ	م	129
عَتَهَ	-	1
عَتِهَ	ل	4
تَعَتَّهَ	ل	126
عَتا	ل	17
تَعَتَّى	ل	127
عَثَّ	م	8
عَثَّثَ	ل	112
عاثَّ	ل	110
اِعْتَثَّ	م	115
عَثَرَ	ل	1/2
عَثَّرَ	م	112
أَعْثَرَ	ل/م	102
تَعَثَّرَ	ل	126
عَثَلَ	ل	1
عَثِلَ	ل	4
عَثَمَ	ل/م	2
عَثِمَ	ل	4
عَثَّمَ	م	112
أَعْثَمَ	م	102
اِعْتَثَمَ	ل/م	114
عَثَنَ	ل/م	1
عَثِنَ	ل	4
عَثَّنَ	ل/م	112
عَثا	ل	17
عَثِيَ	ل	19
عَجِبَ	ل	4
عَجَّبَ	م	112
أَعْجَبَ	م	102
تَعَجَّبَ	ل/م	126
اِسْتَعْجَبَ	ل	129
عَجَّ	ل	9
عَجَّجَ	م	112
أَعَجَّ	ل	103
تَعَجَّجَ	ل	126
عَجَرَ	ل/م	2
عَجِرَ	ل	4
عاجَرَ	ل	109
تَعَجَّرَ	ل	126
اِعْتَجَرَ	ل	114
عَجَزَ	ل	2
عَجُزَ	ل	7
عَجِزَ	ل	4
عَجَّزَ	ل/م	112
عاجَزَ	ل/م	109
أَعْجَزَ	ل/م	102
عَجَفَ	م	2
عَجُفَ	ل	7
عَجِفَ	ل	4
عَجَّفَ	م	112
أَعْجَفَ	ل/م	102
عَجِلَ	ل/م	4
عَجَّلَ	ل/م	112
عاجَلَ	م	109
أَعْجَلَ	ل/م	102
تَعَجَّلَ	ل/م	126
اِسْتَعْجَلَ	ل/م	129
عَجَمَ	م	1
عَجُمَ	ل	7
عَجَّمَ	م	112
أَعْجَمَ	م	102
تَعاجَمَ	ل	123
اِسْتَعْجَمَ	ل	129
عَجَنَ	ل/م	2
أَعْجَنَ	ل	102
اِعْتَجَنَ	م	114
عَجا	م	17
عَجِيَ	ل	19
عَجَّى	م	113
عاجَىَ	م	111
عَدَّ	م	8
عَدَّدَ	م/ل	112
عادَّ	م	110
تَعَدَّدَ	ل	126
تَعادَّ	ل	124
اِعْتَدَّ	ل/م	115
اِسْتَعَدَّ	ل	130
عَدَسَ	ل/م	2
عَدَلَ	ل/م	2
عَدُلَ	ل	7
عَدَّلَ	م	112
عادَلَ	ل/م	109
تَعادَلَ	ل	123
اِعْتَدَلَ	ل	114
عَدِمَ	م	4
أَعْدَمَ	ل/م	102
عَدَنَ	ل/م	2
عَدَّنَ	م	112
عَدا	ل/م	17
عَدَّى	ل/م	113
عادَى	م/ل	111
أَعْدَى	م	104
تَعَدَّى	ل/م	127
تَعادَى	ل	125
اِعْتَدَى	ل/م	116
اِسْتَعْدَى	م	131
عَذَبَ	ل/م	2
عَذُبَ	ل	7
عَذَّبَ	م	112
أَعْذَبَ	ل/م	102
اِعْتَذَبَ	ل	114
اِسْتَعْذَبَ	ل/م	129
اِعْذَوْذَبَ	ل	133
عَذَرَ	ل/م	2
عَذَّرَ	ل/م	112
أَعْذَرَ	ل/م	102
تَعَذَّرَ	ل	126
اِعْتَذَرَ	ل/م	114
اِسْتَعْذَرَ	ل	129
عَذَفَ	ل	2
عَذَقَ	م	2
عَذَّقَ	م	112
عَذَلَ	م	1/2
عَذَّلَ	م	112
تَعَذَّلَ	ل	126
تَعاذَلَ	ل	123
اِعْتَذَلَ	ل	114
عَذا	ل	17
اِسْتَعْذَى	م	131
عَرُبَ	ل	7
عَرِبَ	ل	4
عَرَّبَ	ل/م	112
أَعْرَبَ	ل/م	102
تَعَرَّبَ	ل	126
اِسْتَعْرَبَ	ل	129
عَرَجَ	ل	1
عَرِجَ	ل	4
عَرَّجَ	ل/م	112
أَعْرَجَ	م	102
تَعَرَّجَ	ل	126
تعارَجَ	ل	123
اِنْعَرَجَ	ل	119
عَرَدَ	ل/م	1
عَرِدَ	ل	4
عَرَّدَ	ل	112
أَعْرَدَ	ل	102
عَرَّ	ل	9
عَرَّ	م	8
عَرَّ	ل	10
عَرَّرَ	م	112
عارَّ	ل/م	110
تَعارَّ	ل	124
اِعْتَرَّ	م/ل	115
اِسْتَعَرَّ	م	130
عَرَسَ	ل/م	1
عَرِسَ	ل	4
عَرَّسَ	ل	112
أَعْرَسَ	ل/م	102
تَعَرَّسَ	ل	126
عَرَشَ	ل	1/2
عَرَّشَ	ل/م	112
تَعَرَّشَ	ل	126
اِعْتَرَشَ	ل	114
عَرَصَ	ل	2
عَرِصَ	ل	4
عَرَّصَ	م	112
أَعْرَصَ	ل	102
اِعْتَرَصَ	ل	114
عَرَضَ	ل/م	2
عَرُضَ	ل	7
عَرَّضَ	م/ل	112
عارَضَ	ل/م	109
أَعْرَضَ	ل/م	102
تَعَرَّضَ	ل/م	126
تَعارَضَ	ل	123
اِعْتَرَضَ	ل/م	114
اِسْتَعْرَضَ	ل/م	129
عَرَفَ	ل	1
عَرَفَ	ل/م	2
عَرُفَ	ل	7
عَرِفَ	ل	4
عَرَّفَ	ل/م	112
أَعْرَفَ	ل	102
تَعَرَّفَ	ل/م	126
تَعارَفَ	ل	123
اِعْتَرَفَ	ل/م	114
اِسْتَعْرَفَ	ل	129
عَرَقَ	ل	2
عَرَقَ	م	1
عَرِقَ	ل	4
عَرَّقَ	ل/م	112
عارَقَ	م	109
أَعْرَقَ	ل/م	102
تَعَرَّقَ	ل/م	126
اِعْتَرَقَ	م	114
اِسْتَعْرَقَ	ل	129
عَرَكَ	م	1
عَرِكَ	ل	4
عارَكَ	م	109
تَعارَكَ	ل	123
اِعْتَرَكَ	ل	114
عَرَمَ	ل/م	1
عَرُمَ	ل	7
عَرِمَ	ل	4
عَرَّمَ	م	112
عارَمَ	م	109
تَعَرَّمَ	ل	126
اِعْتَرَمَ	ل/م	114
عَرُنَ	ل	7
عارَنَ	م	109
أَعْرَنَ	ل	102
عَرا	ل/م	17
عَرَّى	م	113
أَعْرَى	م	104
تَعَرَّى	ل	127
اِعْرَوْرَى	ل/م	134
عَزَّبَ	ل/م	1
أَعْزَبَ	ل/م	102
تَعَزَّبَ	ل	126
عَزَرَ	م	2
عَزَّرَ	م	112
عَزَّ	ل	9
عَزَّ	م	8
عَزَّزَ	م	112
عازَّ	م	110
أَعَزَّ	م	103
تَعَزَّزَ	ل	126
اِعْتَزَّ	ل	115
اِسْتَعَزَّ	ل	130
عَزَفَ	ل	2
عَزَّفَ	ل	112
أَعْزَفَ	ل	102
تَعازَفَ	ل	123
عَزَقَ	م	2
عَزِقَ	ل	4
أَعْزَقَ	ل	102
عَزَلَ	م	2
تَعَزَّلَ	م/ل	126
تَعازَلَ	ل	123
اِنْعَزَلَ	ل	119
اِعْتَزَلَ	م/ل	114
عَزَمَ	ل/م	2
عَزَّمَ	ل/م	112
تَعَزَّمَ	م	126
اِعْتَزَمَ	ل/م	114
عَزا	م	17
عَزَى	م	21
عَزِيَ	ل	23
عَزَّى	م	113
تَعَزَّى	ل	127
تَعازَى	ل	125
اِعْتَزَى	ل	116
عَسَبَ	م	2
أَعْسَبَ	ل/م	102
اِسْتَعْسَبَ	ل/م	129
عَسَرَ	ل/م	1
عَسُرَ	ل	7
عَسِرَ	ل	4
عَسَّرَ	ل/م	112
عاسَرَ	م	109
أَعْسَرَ	ل/م	102
تَعَسَّرَ	ل	126
تَعاسَرَ	ل	123
اِعْتَسَرَ	م/ل	114
اِسْتَعْسَرَ	ل	129
عَسَّ	ل/م	8
اِعْتَسَّ	ل/م	103
عَسَفَ	ل/م	2
عَسَّفَ	م	112
أَعْسَفَ	ل	102
تَعَسَّفَ	ل/م	126
اِنْعَسَفَ	ل	119
اِعْتَسَفَ	م/ل	114
عَسِقَ	ل	4
تَعَسَّقَ	ل	126
عَسَلَ	ل/م	2
عَسَّلَ	ل/م	112
اِسْتَعْسَلَ	ل	129
عَسَمَ	ل	2
عَسِمَ	ل	4
