	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak	url
1842	أَجْبَنَ	م	102	أجبن	أجبن	ءجبن	جبن	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجبن
1843	تَجَبَّنَ	ل	126	تجبن	تجبّن	تجبن	تجبن	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجبّن
1844	اِجْتَبَنَ	م	114	اجتبن	اجتبن	اجتبن	جتبن	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتبن
1845	جَبَهَ	م	3	جبه	جبه	جبه	جبه	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبه
1846	جَبِهَ	ل	4	جبه	جبه	جبه	جبه	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جبه
1847	جَبَّهَ	م	112	جبه	جبّه	جبه	جبه	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جبّه
1848	اِجْتَبَهَ	م	114	اجتبه	اجتبه	اجتبه	جتبه	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتبه
1849	جَبا	م	17	جبا	جبا	جبا	جب	3		ناقص واوي	http://qutrub.arabeyes.org/verb/جبا
1850	جَبَى	م	21	جبى	جبى	جبى	جب	3		ناقص يائي	http://qutrub.arabeyes.org/verb/جبى
1851	جَبَّى	ل	113	جبى	جبّى	جبى	جب	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/جبّى
1852	اِجْتَبَى	م	116	اجتبى	اجتبى	اجتبى	جتب	5		ناقص	http://qutrub.arabeyes.org/verb/اجتبى
1853	جَثَّ	ل/م	8	جث	جثّ	جث	جث	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جثّ
1854	اِنْجَثَّ	ل	120	انجث	انجثّ	انجث	نجث	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/انجثّ
1855	اِجْتَثَّ	ل/م	115	اجتث	اجتثّ	اجتث	جتث	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/اجتثّ
1856	جَثَلَ	م	1	جثل	جثل	جثل	جثل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جثل
1857	جَثُلَ	ل	7	جثل	جثل	جثل	جثل	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جثل
1858	جَثَمَ	ل/م	1	جثم	جثم	جثم	جثم	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جثم
1859	جَثَّمَ	م/ل	112	جثم	جثّم	جثم	جثم	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جثّم
1860	تَجَثَّمَ	م	126	تجثم	تجثّم	تجثم	تجثم	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجثّم
1861	جَثا	ل/م	17	جثا	جثا	جثا	جث	3		ناقص واوي	http://qutrub.arabeyes.org/verb/جثا
1862	جَثَّى	م	113	جثى	جثّى	جثى	جث	4	مضعف	ناقص	http://qutrub.arabeyes.org/verb/جثّى
1863	جاثَى	م	111	جاثى	جاثى	جاثى	جث	4		ناقص	http://qutrub.arabeyes.org/verb/جاثى
1864	أَجْثَى	م	104	أجثى	أجثى	ءجثى	جث	4	مهموز	ناقص	http://qutrub.arabeyes.org/verb/أجثى
1865	تَجاثَى	ل	125	تجاثى	تجاثى	تجاثى	تجث	5		ناقص	http://qutrub.arabeyes.org/verb/تجاثى
1866	جَحَّ	م	8	جح	جحّ	جح	جح	3	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جحّ
1867	أَجَحَّ	ل	103	أجح	أجحّ	ءجح	جح	4	مضعف مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحّ
1868	اِنْجَحَّ	ل	120	انجح	انجحّ	انجح	نجح	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/انجحّ
1869	جَحَدَ	م	3	جحد	جحد	جحد	جحد	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحد
1870	جَحِدَ	ل	4	جحد	جحد	جحد	جحد	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحد
1871	أَجْحَدَ	ل/م	102	أجحد	أجحد	ءجحد	جحد	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحد
1872	جَحَرَ	ل/م	3	جحر	جحر	جحر	جحر	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحر
1873	أَجْحَرَ	ل/م	102	أجحر	أجحر	ءجحر	جحر	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحر
1874	تَجَحَّرَ	ل	126	تجحر	تجحّر	تجحر	تجحر	5	مضعف	صحيح	http://qutrub.arabeyes.org/verb/تجحّر
1875	اِنْجَحَرَ	ل	119	انجحر	انجحر	انجحر	نجحر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/انجحر
1876	اِجْتَحَرَ	م	114	اجتحر	اجتحر	اجتحر	جتحر	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/اجتحر
1877	جَحَشَ	ل/م	3	جحش	جحش	جحش	جحش	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحش
1878	جَاحَشَ	ل/م	109	جاحش	جاحش	جاحش	جحش	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جاحش
1879	جَحَظَ	ل/م	3	جحظ	جحظ	جحظ	جحظ	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحظ
1880	جَحَّظَ	ل/م	102	جحظ	جحّظ	جحظ	جحظ	4	مضعف	صحيح	http://qutrub.arabeyes.org/verb/جحّظ
1881	تَجاحَظَ	ل	123	تجاحظ	تجاحظ	تجاحظ	تجحظ	5	سالم	صحيح	http://qutrub.arabeyes.org/verb/تجاحظ
1882	جَحَفَ	ل/م	3	جحف	جحف	جحف	جحف	3	سالم	صحيح	http://qutrub.arabeyes.org/verb/جحف
1883	جاحَفَ	م/ل	109	جاحف	جاحف	جاحف	جحف	4	سالم	صحيح	http://qutrub.arabeyes.org/verb/جاحف
1884	أَجْحَفَ	ل	102	أجحف	أجحف	ءجحف	جحف	4	مهموز	صحيح	http://qutrub.arabeyes.org/verb/أجحف
